prodID;prodDescription;Price1;Price2;productTypeID;unitCost;supplierID;TypeDescription;Buid;supplierID_1;supplierName;supplierAddress1;supplierAddress2;supplierCity;supplierState;supplierZip;supplier_sk
86;Soya Cleaning Supplies           ;406.9;345.9;5;345.9;1;Cleaning Supplies  ;B;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
50;Restarts Paper Supplies          ;524.4;448.3;6;425.9;1;Paper Supplies     ;B;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
91;Scribble Plastic Supplies        ;492.4;405.7;7;397.6;1;Plastic Supplies   ;B;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
98;Barrels Flushing Chemicals       ;135.1;116.6;10;108.4;1;Flushing Chemicals ;C;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
22;Whippers Covers                  ;488.6;410.4;13;389.9;1;Covers             ;D;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
30;Detectives Jacks                 ;283.3;248.5;15;236.1;1;Jacks              ;D;1.0;Specialty Teleconstructors Incorporation; Zylina Cox;2161 Chalmers Street;Salinas;CA;93905.0;10.0
77;Vastest Photo Equipment          ;498.1;442.3;1;420.2;2;Photo Equipment    ;A;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
20;Flake Photo Equipment            ;232.3;204.4;1;194.2;2;Photo Equipment    ;A;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
65;Extinguisher Manufacturing Equipm;120.4;98.4;2;90.5;2;Manufacturing Equip;A;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
24;Bandage Manufacturing Equipment  ;298;267;2;253.7;2;Manufacturing Equip;A;2.0;Sinclair Broadcast Group Incorporation; Carla Shelby;6037 Ecuadorian Street;Clinton;MI;49236.0;9.0
